Transform(Location(x=-29.662821, y=-190.047607, z=3.154967), Rotation(pitch=-7.298426, yaw=1.617478, roll=-0.194153))
Transform(Location(x=-9.766761, y=-189.492279, z=0.846434), Rotation(pitch=-4.885504, yaw=1.622113, roll=-0.128540))
Transform(Location(x=10.288744, y=-188.872711, z=0.008707), Rotation(pitch=-0.019589, yaw=4.204244, roll=-0.153503))
Transform(Location(x=29.099567, y=-181.840576, z=0.002378), Rotation(pitch=-0.087857, yaw=42.507370, roll=-0.440979))
Transform(Location(x=31.895042, y=-161.939209, z=0.001790), Rotation(pitch=0.014330, yaw=90.726913, roll=-0.000305))
Transform(Location(x=31.653767, y=-141.809875, z=0.001793), Rotation(pitch=0.013913, yaw=90.659813, roll=0.000688))
Transform(Location(x=31.425455, y=-121.742752, z=0.001769), Rotation(pitch=0.018080, yaw=90.659622, roll=0.000542))
Transform(Location(x=31.195621, y=-101.559555, z=0.002114), Rotation(pitch=-0.040776, yaw=90.644333, roll=0.000498))
Transform(Location(x=30.967600, y=-81.530548, z=0.001373), Rotation(pitch=0.084708, yaw=90.740829, roll=-0.011383))
Transform(Location(x=30.117704, y=-61.455181, z=0.002231), Rotation(pitch=-0.060604, yaw=92.696358, roll=0.000141))
Transform(Location(x=29.191618, y=-41.197456, z=0.001383), Rotation(pitch=0.083752, yaw=92.566513, roll=0.001238))
Transform(Location(x=28.276894, y=-20.728481, z=0.001398), Rotation(pitch=0.083410, yaw=92.566132, roll=0.001110))
Transform(Location(x=27.364496, y=-0.302643, z=0.002568), Rotation(pitch=-0.116728, yaw=92.567162, roll=0.001063))
Transform(Location(x=26.465593, y=19.905937, z=0.001429), Rotation(pitch=0.078172, yaw=92.453880, roll=0.003517))
Transform(Location(x=25.612961, y=39.965363, z=0.002315), Rotation(pitch=-0.072666, yaw=92.435204, roll=0.001103))
Transform(Location(x=26.154732, y=59.970512, z=0.001952), Rotation(pitch=-0.010894, yaw=87.162674, roll=0.001957))
Transform(Location(x=26.281219, y=79.982544, z=0.001735), Rotation(pitch=0.025818, yaw=110.946159, roll=-0.609680))
Transform(Location(x=11.698805, y=93.698395, z=0.001629), Rotation(pitch=0.042429, yaw=168.287704, roll=-0.496185))
Transform(Location(x=-8.312983, y=91.774818, z=0.001374), Rotation(pitch=0.085063, yaw=-172.730972, roll=-0.000305))
Transform(Location(x=-28.769489, y=89.169266, z=0.001381), Rotation(pitch=0.085603, yaw=-172.731049, roll=0.000667))
Transform(Location(x=-49.447079, y=88.303337, z=0.035332), Rotation(pitch=-0.003354, yaw=176.103119, roll=0.071367))
Transform(Location(x=-69.696899, y=89.663689, z=-0.002126), Rotation(pitch=0.104399, yaw=175.767731, roll=0.018816))
Transform(Location(x=-90.229637, y=89.976913, z=0.002057), Rotation(pitch=-0.033994, yaw=-172.905930, roll=-0.193085))
Transform(Location(x=-111.008179, y=91.166710, z=0.002155), Rotation(pitch=-0.045960, yaw=169.525620, roll=0.190165))
Transform(Location(x=-131.483780, y=92.007393, z=0.001904), Rotation(pitch=-0.003142, yaw=-175.693588, roll=-0.130615))
