Transform(Location(x=5.271349, y=184.555008, z=0.001840), Rotation(pitch=-0.001100, yaw=-89.186035, roll=-0.052490))
Transform(Location(x=5.448848, y=164.504333, z=0.001840), Rotation(pitch=-0.001100, yaw=-89.543022, roll=0.000991))
Transform(Location(x=5.542964, y=144.459900, z=0.001840), Rotation(pitch=-0.001100, yaw=-90.384384, roll=0.022063))
Transform(Location(x=5.368982, y=124.428963, z=0.001847), Rotation(pitch=-0.002350, yaw=-90.646118, roll=0.004585))
Transform(Location(x=5.163067, y=104.274200, z=0.001594), Rotation(pitch=0.040722, yaw=-90.465446, roll=-0.003540))
Transform(Location(x=5.051439, y=83.328262, z=0.001493), Rotation(pitch=0.057729, yaw=-89.932823, roll=-0.013153))
Transform(Location(x=5.113038, y=62.712891, z=0.001806), Rotation(pitch=0.004610, yaw=-89.602837, roll=-0.008972))
Transform(Location(x=5.263653, y=41.906616, z=0.001802), Rotation(pitch=0.005287, yaw=-89.690887, roll=0.005438))
Transform(Location(x=5.265936, y=21.886894, z=0.001804), Rotation(pitch=0.005034, yaw=-90.657951, roll=0.028545))
Transform(Location(x=5.003579, y=1.732407, z=0.001830), Rotation(pitch=0.000724, yaw=-90.788513, roll=0.003659))
Transform(Location(x=4.798984, y=-18.449547, z=0.001833), Rotation(pitch=0.000109, yaw=-90.197876, roll=-0.015076))
Transform(Location(x=4.734659, y=-38.646580, z=0.001834), Rotation(pitch=0.000096, yaw=-90.083069, roll=-0.004211))
Transform(Location(x=4.709142, y=-58.856384, z=0.001834), Rotation(pitch=0.000096, yaw=-90.045982, roll=-0.000671))
Transform(Location(x=4.697003, y=-79.077255, z=0.001836), Rotation(pitch=-0.000096, yaw=-90.021057, roll=-0.000031))
Transform(Location(x=4.688140, y=-99.232475, z=0.001873), Rotation(pitch=-0.006345, yaw=-90.049011, roll=0.001654))
Transform(Location(x=4.634768, y=-120.118454, z=0.001886), Rotation(pitch=-0.008606, yaw=-90.409454, roll=0.011259))
Transform(Location(x=4.482602, y=-140.686874, z=0.001881), Rotation(pitch=-0.007964, yaw=-90.406006, roll=-0.000885))
Transform(Location(x=4.598166, y=-160.969269, z=0.001876), Rotation(pitch=-0.007206, yaw=-87.745659, roll=-0.073700))
Transform(Location(x=5.505760, y=-180.974258, z=0.001872), Rotation(pitch=-0.006564, yaw=-86.692429, roll=-0.029541))
Transform(Location(x=6.498258, y=-201.685608, z=0.001883), Rotation(pitch=-0.008456, yaw=-88.976219, roll=0.066164))
Transform(Location(x=6.770998, y=-221.827698, z=0.001965), Rotation(pitch=-0.022430, yaw=-89.427666, roll=0.006476))
Transform(Location(x=7.868888, y=-242.349976, z=0.002310), Rotation(pitch=-0.081088, yaw=-77.904327, roll=-0.303619))
Transform(Location(x=13.795576, y=-261.763824, z=0.002329), Rotation(pitch=-0.084414, yaw=-69.338982, roll=-0.032379))
Transform(Location(x=20.635143, y=-280.643799, z=0.001617), Rotation(pitch=0.036910, yaw=-69.627686, roll=-0.016541))
Transform(Location(x=29.101923, y=-299.095337, z=0.001863), Rotation(pitch=-0.005034, yaw=-59.168041, roll=-0.108948))
Transform(Location(x=40.752903, y=-315.378143, z=0.001906), Rotation(pitch=-0.012451, yaw=-49.577057, roll=-0.068817))
Transform(Location(x=54.372444, y=-330.133423, z=0.001888), Rotation(pitch=-0.009303, yaw=-44.957142, roll=-0.037750))
Transform(Location(x=69.645439, y=-343.444275, z=0.001874), Rotation(pitch=-0.007144, yaw=-36.568050, roll=-0.060425))
Transform(Location(x=86.798042, y=-354.132751, z=0.001864), Rotation(pitch=-0.005560, yaw=-27.499287, roll=-0.046906))
Transform(Location(x=105.429550, y=-362.430511, z=0.001854), Rotation(pitch=-0.003722, yaw=-20.669489, roll=-0.037689))
Transform(Location(x=124.917549, y=-368.328522, z=0.001653), Rotation(pitch=0.030524, yaw=-13.061847, roll=-0.058777))
Transform(Location(x=145.144180, y=-371.730682, z=0.001705), Rotation(pitch=0.021604, yaw=-5.581913, roll=-0.079346))
Transform(Location(x=165.502335, y=-372.630310, z=0.001735), Rotation(pitch=0.016433, yaw=0.590632, roll=-0.067596))
Transform(Location(x=186.006454, y=-372.179474, z=0.001758), Rotation(pitch=0.012643, yaw=0.931666, roll=0.019243))
