Transform(Location(x=202.459427, y=-331.781555, z=0.021431), Rotation(pitch=-0.018742, yaw=90.657143, roll=0.000593))
Transform(Location(x=202.458160, y=-331.663361, z=0.021422), Rotation(pitch=-0.017246, yaw=90.654709, roll=0.000576))
Transform(Location(x=202.456894, y=-331.545258, z=0.021411), Rotation(pitch=-0.015286, yaw=90.652359, roll=0.000558))
Transform(Location(x=202.455627, y=-331.426971, z=0.021397), Rotation(pitch=-0.012964, yaw=90.650131, roll=0.000531))
Transform(Location(x=202.454376, y=-331.308289, z=0.021382), Rotation(pitch=-0.010471, yaw=90.647934, roll=0.000508))
Transform(Location(x=202.453094, y=-331.188965, z=0.021368), Rotation(pitch=-0.007964, yaw=90.645729, roll=0.000492))
Transform(Location(x=202.451828, y=-331.069031, z=0.021354), Rotation(pitch=-0.005580, yaw=90.643517, roll=0.000482))
Transform(Location(x=202.450577, y=-330.948242, z=0.021341), Rotation(pitch=-0.003388, yaw=90.641289, roll=0.000476))
Transform(Location(x=202.449310, y=-330.826630, z=0.021329), Rotation(pitch=-0.001407, yaw=90.639099, roll=0.000468))
Transform(Location(x=202.447968, y=-330.704041, z=0.021318), Rotation(pitch=0.000417, yaw=90.637100, roll=0.000439))
Transform(Location(x=202.446640, y=-330.580475, z=0.021308), Rotation(pitch=0.002117, yaw=90.635605, roll=0.000373))
Transform(Location(x=202.445312, y=-330.455780, z=0.021299), Rotation(pitch=0.003763, yaw=90.635017, roll=0.000251))
Transform(Location(x=202.443909, y=-330.329712, z=0.021289), Rotation(pitch=0.005375, yaw=90.635513, roll=0.000100))
Transform(Location(x=202.442459, y=-330.202179, z=0.021280), Rotation(pitch=0.006967, yaw=90.637131, roll=-0.000061))
Transform(Location(x=202.440994, y=-330.073120, z=0.021271), Rotation(pitch=0.008531, yaw=90.639648, roll=-0.000183))
Transform(Location(x=202.439468, y=-329.942322, z=0.021262), Rotation(pitch=0.010081, yaw=90.642838, roll=-0.000275))
Transform(Location(x=202.437927, y=-329.809723, z=0.021253), Rotation(pitch=0.011625, yaw=90.646301, roll=-0.000305))
Transform(Location(x=202.436325, y=-329.675140, z=0.021244), Rotation(pitch=0.013169, yaw=90.649879, roll=-0.000305))
Transform(Location(x=202.434708, y=-329.538422, z=0.021234), Rotation(pitch=0.014726, yaw=90.653206, roll=-0.000244))
Transform(Location(x=202.433075, y=-329.399445, z=0.021225), Rotation(pitch=0.016304, yaw=90.656204, roll=-0.000183))
Transform(Location(x=202.431427, y=-329.257996, z=0.021216), Rotation(pitch=0.017861, yaw=90.658768, roll=-0.000092))
Transform(Location(x=202.429703, y=-329.114105, z=0.021207), Rotation(pitch=0.019364, yaw=90.661079, roll=-0.000031))
Transform(Location(x=202.428009, y=-328.967682, z=0.021199), Rotation(pitch=0.020791, yaw=90.663055, roll=0.000037))
Transform(Location(x=202.426239, y=-328.818573, z=0.021191), Rotation(pitch=0.022130, yaw=90.664772, roll=0.000089))
Transform(Location(x=202.424454, y=-328.666840, z=0.021184), Rotation(pitch=0.023366, yaw=90.666183, roll=0.000142))
Transform(Location(x=202.422653, y=-328.512329, z=0.021177), Rotation(pitch=0.024514, yaw=90.667213, roll=0.000199))
Transform(Location(x=202.420837, y=-328.355072, z=0.021171), Rotation(pitch=0.025565, yaw=90.667870, roll=0.000250))
Transform(Location(x=202.418961, y=-328.195007, z=0.021165), Rotation(pitch=0.026515, yaw=90.668228, roll=0.000295))
Transform(Location(x=202.417084, y=-328.031982, z=0.021160), Rotation(pitch=0.027348, yaw=90.668396, roll=0.000321))
Transform(Location(x=202.415146, y=-327.866150, z=0.021156), Rotation(pitch=0.028079, yaw=90.668465, roll=0.000328))
Transform(Location(x=202.413193, y=-327.697540, z=0.021280), Rotation(pitch=0.028728, yaw=90.668533, roll=0.000324))
Transform(Location(x=202.411224, y=-327.526184, z=0.021341), Rotation(pitch=0.029069, yaw=90.668594, roll=0.000315))
Transform(Location(x=202.409210, y=-327.354248, z=0.021381), Rotation(pitch=0.026549, yaw=90.668793, roll=0.000285))
Transform(Location(x=202.407181, y=-327.182709, z=0.021409), Rotation(pitch=0.022567, yaw=90.669502, roll=0.000214))
Transform(Location(x=202.405151, y=-327.010956, z=0.021424), Rotation(pitch=0.019029, yaw=90.670914, roll=0.000112))
Transform(Location(x=202.403122, y=-326.838715, z=0.021428), Rotation(pitch=0.016372, yaw=90.673309, roll=-0.000031))
Transform(Location(x=202.401031, y=-326.665771, z=0.021426), Rotation(pitch=0.014507, yaw=90.676880, roll=-0.000183))
Transform(Location(x=202.398895, y=-326.492004, z=0.021422), Rotation(pitch=0.013189, yaw=90.681366, roll=-0.000305))
Transform(Location(x=202.396759, y=-326.317444, z=0.021416), Rotation(pitch=0.012199, yaw=90.686485, roll=-0.000397))
Transform(Location(x=202.394592, y=-326.142212, z=0.021411), Rotation(pitch=0.011352, yaw=90.692001, roll=-0.000458))
Transform(Location(x=202.392334, y=-325.966309, z=0.021408), Rotation(pitch=0.010512, yaw=90.697678, roll=-0.000488))
Transform(Location(x=202.390106, y=-325.789917, z=0.021406), Rotation(pitch=0.009631, yaw=90.703415, roll=-0.000488))
Transform(Location(x=202.387863, y=-325.613129, z=0.021405), Rotation(pitch=0.008695, yaw=90.709084, roll=-0.000458))
Transform(Location(x=202.385544, y=-325.436035, z=0.021406), Rotation(pitch=0.007739, yaw=90.714668, roll=-0.000427))
Transform(Location(x=202.383240, y=-325.258698, z=0.021408), Rotation(pitch=0.006789, yaw=90.720238, roll=-0.000397))
Transform(Location(x=202.380936, y=-325.081177, z=0.021410), Rotation(pitch=0.005881, yaw=90.725777, roll=-0.000397))
Transform(Location(x=202.378571, y=-324.903503, z=0.021413), Rotation(pitch=0.005020, yaw=90.731461, roll=-0.000397))
Transform(Location(x=202.376190, y=-324.725769, z=0.021416), Rotation(pitch=0.004207, yaw=90.737411, roll=-0.000427))
Transform(Location(x=202.373810, y=-324.547974, z=0.021419), Rotation(pitch=0.003401, yaw=90.743706, roll=-0.000458))
Transform(Location(x=202.371384, y=-324.370361, z=0.021423), Rotation(pitch=0.002514, yaw=90.750572, roll=-0.000519))
Transform(Location(x=202.368927, y=-324.193054, z=0.021428), Rotation(pitch=0.001434, yaw=90.758072, roll=-0.000610))
Transform(Location(x=202.366455, y=-324.016388, z=0.021435), Rotation(pitch=0.000137, yaw=90.766205, roll=-0.000702))
Transform(Location(x=202.363937, y=-323.840485, z=0.021443), Rotation(pitch=-0.001373, yaw=90.775009, roll=-0.000793))
Transform(Location(x=202.361420, y=-323.665619, z=0.021453), Rotation(pitch=-0.003026, yaw=90.784271, roll=-0.000854))
Transform(Location(x=202.358887, y=-323.491882, z=0.021462), Rotation(pitch=-0.004761, yaw=90.793839, roll=-0.000885))
Transform(Location(x=202.356323, y=-323.319397, z=0.021472), Rotation(pitch=-0.006441, yaw=90.803543, roll=-0.000885))
Transform(Location(x=202.353729, y=-323.148224, z=0.021481), Rotation(pitch=-0.007964, yaw=90.813179, roll=-0.000854))
Transform(Location(x=202.351135, y=-322.978424, z=0.021489), Rotation(pitch=-0.009303, yaw=90.822540, roll=-0.000824))
Transform(Location(x=202.348511, y=-322.809906, z=0.021495), Rotation(pitch=-0.010471, yaw=90.831657, roll=-0.000763))
Transform(Location(x=202.345917, y=-322.642761, z=0.021501), Rotation(pitch=-0.011447, yaw=90.840469, roll=-0.000702))
Transform(Location(x=202.343323, y=-322.475555, z=0.021469), Rotation(pitch=-0.010437, yaw=90.848763, roll=-0.000641))
Transform(Location(x=202.340698, y=-322.308105, z=0.021475), Rotation(pitch=-0.009159, yaw=90.856590, roll=-0.000580))
Transform(Location(x=202.338058, y=-322.140839, z=0.021449), Rotation(pitch=-0.007807, yaw=90.863792, roll=-0.000488))
Transform(Location(x=202.335419, y=-321.973419, z=0.021460), Rotation(pitch=-0.006714, yaw=90.870155, roll=-0.000366))
