Transform(Location(x=32.333401, y=-310.440613, z=0.001808), Rotation(pitch=0.022287, yaw=-55.826370, roll=-0.007141))
Transform(Location(x=32.429905, y=-310.579437, z=0.001837), Rotation(pitch=0.018018, yaw=-55.746506, roll=-0.007568))
Transform(Location(x=32.526241, y=-310.717621, z=0.001855), Rotation(pitch=0.013906, yaw=-55.660229, roll=-0.007996))
Transform(Location(x=32.622620, y=-310.855377, z=0.001864), Rotation(pitch=0.010607, yaw=-55.570114, roll=-0.008453))
Transform(Location(x=32.719177, y=-310.992889, z=0.001865), Rotation(pitch=0.008155, yaw=-55.476940, roll=-0.008942))
Transform(Location(x=32.816002, y=-311.130188, z=0.001863), Rotation(pitch=0.006386, yaw=-55.380447, roll=-0.009521))
Transform(Location(x=32.913128, y=-311.267334, z=0.001859), Rotation(pitch=0.005075, yaw=-55.280510, roll=-0.010132))
Transform(Location(x=33.010555, y=-311.404297, z=0.001856), Rotation(pitch=0.004023, yaw=-55.177109, roll=-0.010742))
Transform(Location(x=33.108246, y=-311.540955, z=0.001853), Rotation(pitch=0.003046, yaw=-55.069664, roll=-0.011414))
Transform(Location(x=33.206142, y=-311.677216, z=0.001852), Rotation(pitch=0.002022, yaw=-54.956802, roll=-0.012207))
Transform(Location(x=33.304180, y=-311.812836, z=0.001853), Rotation(pitch=0.000861, yaw=-54.836693, roll=-0.013214))
Transform(Location(x=33.403126, y=-311.948730, z=0.001819), Rotation(pitch=0.001441, yaw=-54.709064, roll=-0.014709))
Transform(Location(x=33.503052, y=-312.084930, z=0.001826), Rotation(pitch=0.001919, yaw=-54.571556, roll=-0.016174))
Transform(Location(x=33.602463, y=-312.219635, z=0.001841), Rotation(pitch=0.000102, yaw=-54.428249, roll=-0.016754))
Transform(Location(x=33.702141, y=-312.353638, z=0.001822), Rotation(pitch=-0.000792, yaw=-54.278870, roll=-0.017822))
Transform(Location(x=33.802261, y=-312.487152, z=0.001804), Rotation(pitch=-0.001530, yaw=-54.122372, roll=-0.018738))
Transform(Location(x=33.902813, y=-312.620117, z=0.001804), Rotation(pitch=-0.001858, yaw=-53.959442, roll=-0.019806))
Transform(Location(x=34.003696, y=-312.752594, z=0.001738), Rotation(pitch=-0.002199, yaw=-53.792915, roll=-0.020233))
Transform(Location(x=34.104713, y=-312.884338, z=0.001682), Rotation(pitch=-0.002780, yaw=-53.627506, roll=-0.020233))
Transform(Location(x=34.205624, y=-313.015167, z=0.001659), Rotation(pitch=-0.003661, yaw=-53.465157, roll=-0.019684))
Transform(Location(x=34.306290, y=-313.145050, z=0.001656), Rotation(pitch=-0.004733, yaw=-53.307747, roll=-0.018768))
Transform(Location(x=34.406616, y=-313.273926, z=0.001665), Rotation(pitch=-0.005894, yaw=-53.156265, roll=-0.017639))
Transform(Location(x=34.506538, y=-313.401825, z=0.001679), Rotation(pitch=-0.006960, yaw=-53.013256, roll=-0.016205))
