Transform(Location(x=-94.807030, y=383.510803, z=0.002151), Rotation(pitch=-0.054928, yaw=147.442856, roll=-0.102661))
Transform(Location(x=-112.401085, y=394.355103, z=0.002265), Rotation(pitch=-0.074251, yaw=151.884460, roll=-0.089447))
Transform(Location(x=-130.838684, y=402.149689, z=0.001540), Rotation(pitch=0.049252, yaw=160.681808, roll=-0.034119))
Transform(Location(x=-150.151718, y=407.857971, z=0.001613), Rotation(pitch=0.036856, yaw=166.161911, roll=-0.048492))
Transform(Location(x=-170.780029, y=411.863831, z=0.001663), Rotation(pitch=0.028236, yaw=172.475037, roll=-0.080749))
Transform(Location(x=-191.071457, y=413.902496, z=0.001690), Rotation(pitch=0.023578, yaw=177.200912, roll=-0.088562))
Transform(Location(x=-211.896179, y=413.945435, z=0.001750), Rotation(pitch=0.013394, yaw=-177.109070, roll=-0.081360))
Transform(Location(x=-232.300781, y=413.114136, z=0.001876), Rotation(pitch=-0.008087, yaw=-179.820969, roll=0.073069))
Transform(Location(x=-253.031387, y=413.392090, z=0.001986), Rotation(pitch=-0.026583, yaw=178.051849, roll=0.027294))
Transform(Location(x=-273.243561, y=413.884979, z=0.001961), Rotation(pitch=-0.022342, yaw=178.993607, roll=-0.006470))
Transform(Location(x=-293.591980, y=414.300781, z=0.002270), Rotation(pitch=-0.075071, yaw=178.761520, roll=-0.000305))
Transform(Location(x=-313.634766, y=414.643127, z=0.001981), Rotation(pitch=-0.025688, yaw=179.680435, roll=-0.008026))
Transform(Location(x=-333.954773, y=414.117340, z=0.001904), Rotation(pitch=-0.012574, yaw=-176.133377, roll=-0.016754))
Transform(Location(x=-353.942230, y=411.317719, z=0.001804), Rotation(pitch=0.004317, yaw=-168.176987, roll=-0.021667))
Transform(Location(x=-373.435028, y=406.132843, z=0.001817), Rotation(pitch=0.002295, yaw=-162.605957, roll=-0.019562))
Transform(Location(x=-392.518402, y=398.774261, z=0.001820), Rotation(pitch=0.001728, yaw=-155.768188, roll=-0.019928))
Transform(Location(x=-410.280975, y=389.327881, z=0.001828), Rotation(pitch=0.000505, yaw=-148.611664, roll=-0.026764))
Transform(Location(x=-426.937988, y=377.677490, z=0.001833), Rotation(pitch=-0.000458, yaw=-141.814056, roll=-0.028198))
Transform(Location(x=-442.064453, y=364.214294, z=0.001836), Rotation(pitch=-0.001100, yaw=-135.300522, roll=-0.026764))
Transform(Location(x=-455.829803, y=348.951660, z=0.001838), Rotation(pitch=-0.001100, yaw=-129.080841, roll=-0.027313))
Transform(Location(x=-467.661041, y=332.588593, z=0.001840), Rotation(pitch=-0.001100, yaw=-122.897552, roll=-0.029816))
Transform(Location(x=-477.533539, y=314.834320, z=0.001841), Rotation(pitch=-0.001100, yaw=-115.562340, roll=-0.032837))
Transform(Location(x=-485.083923, y=295.884460, z=0.001841), Rotation(pitch=-0.001100, yaw=-108.169403, roll=-0.032532))
Transform(Location(x=-490.374451, y=276.118134, z=0.001842), Rotation(pitch=-0.001100, yaw=-102.040298, roll=-0.028564))
Transform(Location(x=-493.489746, y=255.854630, z=0.001842), Rotation(pitch=-0.001100, yaw=-95.706169, roll=-0.029083))
Transform(Location(x=-494.363281, y=235.343262, z=0.001842), Rotation(pitch=-0.001100, yaw=-89.990166, roll=-0.015869))
Transform(Location(x=-493.969666, y=214.785019, z=0.001842), Rotation(pitch=-0.001100, yaw=-88.216400, roll=-0.002106))
Transform(Location(x=-493.380463, y=194.784637, z=0.001842), Rotation(pitch=-0.001100, yaw=-88.146477, roll=0.000547))
Transform(Location(x=-492.875854, y=174.769897, z=0.001842), Rotation(pitch=-0.001100, yaw=-88.910034, roll=0.002048))
Transform(Location(x=-492.582794, y=154.741913, z=0.001840), Rotation(pitch=-0.000826, yaw=-89.473755, roll=0.003432))
Transform(Location(x=-492.527435, y=134.635590, z=0.001840), Rotation(pitch=-0.000676, yaw=-90.114594, roll=0.001426))
Transform(Location(x=-492.577301, y=114.434372, z=0.001843), Rotation(pitch=-0.001038, yaw=-90.099480, roll=-0.001953))
Transform(Location(x=-492.302612, y=94.271385, z=0.001689), Rotation(pitch=0.025244, yaw=-85.997978, roll=-0.025879))
Transform(Location(x=-488.739624, y=74.424843, z=0.001696), Rotation(pitch=0.024070, yaw=-73.944870, roll=-0.084045))
