Transform(Location(x=8.303262, y=-60.458958, z=0.001662), Rotation(pitch=0.032402, yaw=-90.056267, roll=0.005396))
Transform(Location(x=8.302767, y=-60.968319, z=0.001635), Rotation(pitch=0.037081, yaw=-90.071037, roll=0.005732))
Transform(Location(x=8.302137, y=-61.481091, z=0.001609), Rotation(pitch=0.041343, yaw=-90.088127, roll=0.006157))
Transform(Location(x=8.301361, y=-61.997337, z=0.001587), Rotation(pitch=0.045216, yaw=-90.107658, roll=0.006648))
Transform(Location(x=8.300422, y=-62.517094, z=0.001566), Rotation(pitch=0.048720, yaw=-90.129570, roll=0.007188))
Transform(Location(x=8.299310, y=-63.040405, z=0.001547), Rotation(pitch=0.051896, yaw=-90.153580, roll=0.007737))
Transform(Location(x=8.298017, y=-63.567287, z=0.001531), Rotation(pitch=0.054758, yaw=-90.179314, roll=0.008280))
Transform(Location(x=8.296527, y=-64.097786, z=0.001515), Rotation(pitch=0.057326, yaw=-90.206512, roll=0.008819))
Transform(Location(x=8.294834, y=-64.631920, z=0.001502), Rotation(pitch=0.059634, yaw=-90.234779, roll=0.009339))
Transform(Location(x=8.292931, y=-65.169701, z=0.001490), Rotation(pitch=0.061704, yaw=-90.263618, roll=0.009827))
Transform(Location(x=8.290811, y=-65.711159, z=0.001479), Rotation(pitch=0.063555, yaw=-90.292603, roll=0.010270))
Transform(Location(x=8.288470, y=-66.256294, z=0.001469), Rotation(pitch=0.065208, yaw=-90.321259, roll=0.010658))
Transform(Location(x=8.285908, y=-66.805122, z=0.001460), Rotation(pitch=0.066676, yaw=-90.349121, roll=0.010984))
Transform(Location(x=8.283124, y=-67.357666, z=0.001453), Rotation(pitch=0.067981, yaw=-90.375732, roll=0.011233))
Transform(Location(x=8.280126, y=-67.913918, z=0.001446), Rotation(pitch=0.069142, yaw=-90.400513, roll=0.011376))
Transform(Location(x=8.276917, y=-68.473877, z=0.001440), Rotation(pitch=0.070173, yaw=-90.423164, roll=0.011441))
Transform(Location(x=8.273504, y=-69.037575, z=0.001434), Rotation(pitch=0.071082, yaw=-90.443352, roll=0.011420))
Transform(Location(x=8.269899, y=-69.605003, z=0.001430), Rotation(pitch=0.071874, yaw=-90.460823, roll=0.011300))
Transform(Location(x=8.266112, y=-70.176147, z=0.001425), Rotation(pitch=0.072578, yaw=-90.475334, roll=0.011086))
Transform(Location(x=8.262156, y=-70.751030, z=0.001422), Rotation(pitch=0.073206, yaw=-90.486908, roll=0.010799))
Transform(Location(x=8.258045, y=-71.329651, z=0.001419), Rotation(pitch=0.073752, yaw=-90.495491, roll=0.010425))
Transform(Location(x=8.253792, y=-71.912003, z=0.001416), Rotation(pitch=0.074230, yaw=-90.501190, roll=0.009996))
Transform(Location(x=8.249409, y=-72.498093, z=0.001413), Rotation(pitch=0.074647, yaw=-90.504303, roll=0.009525))
Transform(Location(x=8.244904, y=-73.087914, z=0.001411), Rotation(pitch=0.075023, yaw=-90.505188, roll=0.009030))
Transform(Location(x=8.240293, y=-73.681473, z=0.001409), Rotation(pitch=0.075344, yaw=-90.504272, roll=0.008519))
Transform(Location(x=8.235586, y=-74.278763, z=0.001407), Rotation(pitch=0.075631, yaw=-90.501892, roll=0.007990))
Transform(Location(x=8.230796, y=-74.879791, z=0.001406), Rotation(pitch=0.075863, yaw=-90.498283, roll=0.007442))
Transform(Location(x=8.225936, y=-75.484550, z=0.001405), Rotation(pitch=0.076075, yaw=-90.493652, roll=0.006875))
Transform(Location(x=8.221019, y=-76.093033, z=0.001404), Rotation(pitch=0.076245, yaw=-90.488182, roll=0.006289))
Transform(Location(x=8.216054, y=-76.705238, z=0.001403), Rotation(pitch=0.076389, yaw=-90.481987, roll=0.005689))
Transform(Location(x=8.211053, y=-77.321167, z=0.001402), Rotation(pitch=0.076505, yaw=-90.475327, roll=0.005098))
Transform(Location(x=8.206019, y=-77.940826, z=0.001402), Rotation(pitch=0.076601, yaw=-90.468498, roll=0.004536))
Transform(Location(x=8.200960, y=-78.564194, z=0.001401), Rotation(pitch=0.076676, yaw=-90.461906, roll=0.004024))
Transform(Location(x=8.195877, y=-79.191269, z=0.001401), Rotation(pitch=0.076737, yaw=-90.455772, roll=0.003555))
Transform(Location(x=8.190778, y=-79.822067, z=0.001400), Rotation(pitch=0.076785, yaw=-90.450127, roll=0.003103))
Transform(Location(x=8.185675, y=-80.456573, z=0.001400), Rotation(pitch=0.076819, yaw=-90.444511, roll=0.002613))
Transform(Location(x=8.180583, y=-81.094772, z=0.001400), Rotation(pitch=0.076840, yaw=-90.438347, roll=0.002053))
Transform(Location(x=8.175521, y=-81.736679, z=0.001400), Rotation(pitch=0.076846, yaw=-90.431000, roll=0.001412))
